from,to,distance
13,254,0.872
257,102,1.3219999999999998
99,150,1.222
254,257,0.233
150,14,1.22
102,100,0.239
103,99,0.256
198,192,0.255
197,221,0.28300000000000003
221,346,1.85
345,16,1.031
346,345,0.218
15,198,3.208
149,15,0.557
16,347,0.7509999999999999
136,149,1.369
347,135,1.171
107,136,1.095
135,110,1.1079999999999999
110,117,0.255
113,107,0.17
117,118,0.782
117,119,0.782
124,113,1.493
118,125,0.795
119,125,0.795
4,124,1.195
320,124,1.195
125,128,1.275
125,129,1.275
155,4,1.749
155,320,1.749
70,4,1.749
70,320,1.749
128,184,2.373
128,185,2.373
129,184,2.373
129,185,2.373
223,155,2.439
223,70,2.439
71,155,2.439
71,70,2.439
184,174,1.6869999999999998
184,341,1.6869999999999998
185,174,1.6869999999999998
185,341,1.6869999999999998
220,223,0.221
220,71,0.221
72,223,0.221
72,71,0.221
174,171,0.294
174,342,0.294
341,171,0.294
341,342,0.294
204,220,2.9389999999999996
204,72,2.9389999999999996
74,220,2.9389999999999996
74,72,2.9389999999999996
171,211,2.861
171,63,2.861
342,211,2.861
342,63,2.861
211,208,0.259
211,64,0.259
63,208,0.259
63,64,0.259
201,204,0.249
201,74,0.249
75,204,0.249
75,74,0.249
2,201,3.248
2,75,3.248
77,201,3.248
77,75,3.248
3,2,0.313
3,77,0.313
78,2,0.313
78,77,0.313
208,242,5.476
208,243,5.476
64,242,5.476
64,243,5.476
5,3,2.467
5,78,2.467
242,190,0.5710000000000001
243,190,0.5710000000000001
6,5,0.205
190,229,0.569
227,6,0.483
228,6,0.483
196,227,1.93
196,228,1.93
237,227,1.93
237,228,1.93
229,234,2.358
229,235,2.358
200,196,0.212
200,237,0.212
232,196,0.212
232,237,0.212
281,200,1.4669999999999999
281,232,1.4669999999999999
282,200,1.4669999999999999
282,232,1.4669999999999999
234,277,1.399
234,278,1.399
235,277,1.399
235,278,1.399
277,284,0.32
277,287,0.32
278,284,0.32
278,287,0.32
266,281,0.7070000000000001
266,282,0.7070000000000001
267,281,0.7070000000000001
267,282,0.7070000000000001
284,264,0.302
284,268,0.302
287,264,0.302
287,268,0.302
271,266,0.44799999999999995
271,267,0.44799999999999995
272,266,0.44799999999999995
272,267,0.44799999999999995
145,263,1.742
263,9,5.7620000000000005
340,339,0.226
339,161,2.283
161,271,3.717
161,272,3.717
264,9,6.794
268,9,6.794
161,146,4.577
146,178,5.767
178,182,0.314
183,180,0.22899999999999998
182,323,3.665
324,183,3.762
337,336,0.315
334,335,0.28600000000000003
336,19,1.305
18,334,1.4
21,18,1.6059999999999999
23,18,1.6059999999999999
19,354,2.891
19,283,2.891
19,28,2.891
19,30,2.891
354,274,0.7879999999999999
354,275,0.7879999999999999
354,31,0.7879999999999999
283,274,0.7879999999999999
283,275,0.7879999999999999
283,31,0.7879999999999999
28,274,0.7879999999999999
28,275,0.7879999999999999
28,31,0.7879999999999999
30,274,0.7879999999999999
30,275,0.7879999999999999
30,31,0.7879999999999999
274,350,0.7390000000000001
274,27,0.7390000000000001
275,350,0.7390000000000001
275,27,0.7390000000000001
31,350,0.7390000000000001
31,27,0.7390000000000001
270,21,2.841
270,23,2.841
32,21,2.841
32,23,2.841
350,351,0.26
350,24,0.26
27,351,0.26
27,24,0.26
351,352,0.498
351,26,0.498
24,352,0.498
24,26,0.498
73,270,1.044
73,32,1.044
76,270,1.044
76,32,1.044
352,90,0.893
352,94,0.893
26,90,0.893
26,94,0.893
90,82,0.33399999999999996
90,85,0.33399999999999996
94,82,0.33399999999999996
94,85,0.33399999999999996
